"participant";"item_no";"list";"condition";"exp_rate1.response";"certainty_rate.response"
"052308";"c1";5;"control";0.725575087;0.374233218
"052308";"c2";5;"control";0.609798177;0.584103733
"052308";"f1";5;"exp_salt";0.546903935;0.750249566
"052308";"f2";5;"reason_modal";0.694704861;0.685268374
"052308";"f3";5;"probl_sol_rc";0.161697049;0.411302807
"052308";"f4";5;"probl_sol_modal";0.820493345;0.65604022
"052308";"f5";5;"reason_rc";0.361480035;0.62416088
"052308";"t13";5;"nc";0.700553385;0.69927662
"052308";"t18";5;"c";0.658138021;1
"052308";"t21";5;"nc";0.357523148;0.822475405
"052308";"t26";5;"c";0.227629485;0.5
"052308";"t29";5;"nc";0.652788628;0.948509838
"068497";"c1";1;"control";0.729166667;0.3828125
"068497";"c2";1;"control";0.70703125;0.299479167
"068497";"f1";1;"exp_salt";0.2265625;0.602864583
"068497";"f2";1;"reason_modal";0.295572917;0.606770833
"068497";"f3";1;"probl_sol_rc";0.28515625;0.647135417
"068497";"f4";1;"probl_sol_modal";0.62890625;0.287760417
"068497";"f5";1;"reason_rc";0.71875;0.653645833
"068497";"t1";1;"c";0.618489583;0.381510417
"068497";"t4";1;"nc";0.322916667;0.359375
"068497";"t5";1;"c";0.770833333;0.643229167
"068497";"t8";1;"nc";0.26953125;0.315104167
"068497";"t9";1;"c";0.248697917;0.673177083
